;11-501;11-502;11-503;11-504;11-505;11-506;11-507;11-511;11-512; 11-541;11-521;11-522;11-531;11-400 ;11-401;11-402;11-403;11-404;11-405;11-406;11-407;11-408;11-409;11-411 ;11-412 ;11-413а ;11-301;11-302;11-303;11-304;11-305;11-306;11-307;11-308;11-311 ;11-312 ;11-314а;11-200;11-201;11-202;11-203;11-204;11-205;11-206;11-207;11-208;11-209;11-210 ;11.1-521;11.1-522;11.1-531;11.1-541;11.1-551;11.1-552;11.1-561;11.1-571
Правовые аспекты использования систем искусственного интеллекта   практика по ч.н. Камалетдинова А.В. в ауд.1412;Нормативное регулирование цифровой экономики Старостина Е.С. в 1302 ( по неч.нед. лекц. по чет .нед. практ.)
Правовые аспекты облачных технологий,сервисов и платформ Никитин Д.В. в ауд.в 1508 ( лекц. по н.нед,практ по чет.нед.)
19.10-20.40;;;;;;;;;;;Алгоритмы и структуры данных в программировании,


;;Дисциплины по выбору:






;;;;;;;;;Основы финансовой грамотности,


;;;;Информационная безопасность, Мулюков Р.И. 

Архитектура программных систем,


Информационная безопасность, Валишин И.А.

;;;Управление проектами,



;;Дисциплины по выбору (1-9 нед.):




;;;;;;;;;Методологии разработки,


Инженерия приложений и инженерия предметной Таланов М.О.(онлайн) лекц. 9 н.https://meet.google.com/omw-ksdn-hgv в 1302;;Робототехническая операционная система Лавренов Р.О. в 1408;;Средства и инструменты  Data-аналитики Ханнанова Д.М. лекция 9 нед.: 1,2,3 ,7.8.9.13.14.15;  практика: 4.5.6.10.11.12 16.17.18 нед. 
Командный проект по искусственному интеллекту Курносов О.В. в ауд.1412;Цифровизация бизнес-процессов Коростелева Д.М. онлайн;Методология научных исследований Абрамский М.М. лекция  9 нед  в 1508 ( с 17.02 по 14.04), практика Валиуллин Р.М.( с 21.04 по 2.06-7 нед. + 2 нед. 26.05 и 2.06 в 15.50 в ауд.1508)  в ауд.1508.
08.30-10.00;Философия, Солдатова Н.О.

;;;;Алгоритмы и структуры данных,

Дискретная математика 


;;Компьютерная математика, практ.

;Русский язык и культура речи,



Базы данных,


;Основы разработки информационных систем,


Базы данных,


;;;;;;;;;;;;;;;;;Практикум по управлению разработкой ПО,

10.10-11.40;Математический анализ, 


;;;Дискретная математика 

Математический анализ,

Алгебра и геометрия,


Философия,





Алгебра и геометрия,

Русский язык и культура речи,



;Линейная алгебра для IT,



Философия,





Иностранный язык: Марико М.Л. в 1301, Епишева К.Д. в 1302, Нсубуга Мозес в 1303, Мухтарова Р.Й. в 1304, Файзуллина Р.А. в 1305, Воронин К.В. в 1412



;;;;;;Базы данных,


Базы данных,



;Практикум по командной разработке,


;;;;;;;;;;;Практикум по управлению разработкой ПО,
;Методология научной деятельности,



;;;;;;;;;;;;;;;;                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
12.10-13.40;Информатика и программирование


;Математический анализ, 

Математический анализ,


История России, 


;;Алгебра и геометрия,
Философия,



Линейная алгебра для IT,



История России,



;Алгоритмы и структуры данных в программировании,




Иностранный язык: Марико М.Л. в 1301, Епишева К.Д. в 1302, Нсубуга Мозес в 1303, Мухтарова Р.Й. в 1304, Файзуллина Р.А. в 1305, Воронин К.В. в 1412 



;;;;;;Машинное обучение,


Базы данных,



;;Практикум по командной разработке,


;;;;;;;;;Практикум по управлению разработкой ПО,


Практикум по управлению разработкой ПО,


;;Методология научной деятельности,



;;;;;;;;;;;;; ;;                                                                                                                                                       
13.50-15.20;Алгебра и геометрия, лекции, Арсланов М.М. 
;;;Алгебра и геометрия,   

Алгебра и геометрия,

История России,



                                                                                                                                                                                                                                  ;                                                                                                                                              ;Алгоритмы и структуры данных в программировании,


История России,


История России,



;;Теория вероятностей и математическая статистика,

;;Теория вероятностей и математическая статистика,







;;;;Иностранный язык,

;;;Практика лаборатории Devops/SRE 
Практика лаборатории Devops/SRE 
;;;Практика лаборатории Devops/SRE 

Практика лаборатории  

Программная инженерия,

;;Методология научной деятельности,



;;;;;;;;;;Методология научных исследований Магид Е.А. по н.н. лекц. в 1310-1311 по чет.нед. практ. у гр.11.1-521 в 1310 ;;;                                                                  ;;;;                                                      
15.50-17.20;Введение в проектную деятельность, (9 нед.) 




